date,cold versus flu
2020-01-05,10.6
2020-01-12,0.0
2020-01-19,0.0
2020-01-26,0.0
2020-02-02,0.0
2020-02-09,14.285714285714286
2020-02-16,6.857142857142857
2020-02-23,0.0
2020-03-01,0.0
2020-03-08,0.0
2020-03-15,23.285714285714285
2020-03-22,15.0
2020-03-29,0.0
2020-04-05,0.0
2020-04-12,0.0
2020-04-19,0.0
2020-04-26,0.0
2020-05-03,0.0
2020-05-10,0.0
2020-05-17,0.0
2020-05-24,0.0
2020-05-31,0.0
2020-06-07,0.0
2020-06-14,0.0
2020-06-21,0.0
2020-06-28,0.0
2020-07-05,0.0
2020-07-12,
2020-07-19,
2020-07-26,
2020-08-02,
2020-08-09,
2020-08-16,
2020-08-23,
2020-08-30,
2020-09-06,
2020-09-13,
2020-09-20,
2020-09-27,
2020-10-04,
2020-10-11,
2020-10-18,
2020-10-25,
2020-11-01,
2020-11-08,
2020-11-15,
2020-11-22,
2020-11-29,
2020-12-06,
2020-12-13,
2020-12-20,
2020-12-27,
2021-01-03,
2021-01-10,
2021-01-17,
2021-01-24,
2021-01-31,
2021-02-07,
2021-02-14,
2021-02-21,
2021-02-28,
2021-03-07,
2021-03-14,
2021-03-21,
2021-03-28,
2021-04-04,
2021-04-11,
2021-04-18,
2021-04-25,
2021-05-02,
2021-05-09,
2021-05-16,
2021-05-23,
2021-05-30,
2021-06-06,
2021-06-13,
2021-06-20,
2021-06-27,
2021-07-04,
2021-07-11,
2021-07-18,
2021-07-25,
2021-08-01,
2021-08-08,
2021-08-15,
2021-08-22,
2021-08-29,
2021-09-05,
2021-09-12,
2021-09-19,
2021-09-26,
2021-10-03,
2021-10-10,
2021-10-17,
2021-10-24,
2021-10-31,
2021-11-07,
2021-11-14,
2021-11-21,
2021-11-28,
2021-12-05,
2021-12-12,
2021-12-19,
2021-12-26,
2022-01-02,
2022-01-09,
2022-01-16,
2022-01-23,
2022-01-30,
2022-02-06,
2022-02-13,
2022-02-20,
2022-02-27,
2022-03-06,
2022-03-13,
2022-03-20,
2022-03-27,
2022-04-03,
2022-04-10,
2022-04-17,
2022-04-24,
2022-05-01,
2022-05-08,
2022-05-15,
2022-05-22,
2022-05-29,
2022-06-05,
2022-06-12,
2022-06-19,
2022-06-26,
2022-07-03,
